Filter No.,Freq [kHz],A2_2kHz,A2_4kHz,A2_6kHz,A2_8kHz,B1_2kHz,B1_4kHz,B1_6kHz,B1_8kHz,A3_2kHz,A3_4kHz,A3_6kHz,A3_8kHz
227,451.2,F539,FF4A,ECA4,E216,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
228,452.4,F5A8,FFCC,ED03,E263,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
229,453.6,F612,0048,ED5E,E2AA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
230,454.8,F677,00BF,EDB3,E2EC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
231,456,F6D7,0132,EE03,E329,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
232,457.2,F732,019F,EE4E,E361,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
233,458.4,F787,0207,EE94,E393,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
234,459.6,F7D8,026A,EED4,E3C0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
235,460.8,F823,02C8,EF0F,E3E8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
236,462,F869,0320,EF45,E40A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
237,463.2,F8A9,0374,EF76,E427,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
238,464.4,F8E4,03C2,EFA1,E43E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
239,465.6,F91A,040A,EFC6,E450,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
240,466.8,F94A,044E,EFE6,E45C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
241,468,F975,048C,F001,E462,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
242,469.2,F99A,04C4,F016,E463,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
243,470.4,F9BA,04F7,F025,E45E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
244,471.6,F9D4,0524,F02F,E454,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
245,472.8,F9E8,054C,F033,E444,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
246,474,F9F7,056E,F031,E42E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
247,475.2,FA00,058A,F029,E412,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
248,476.4,FA03,05A1,F01C,E3F0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
249,477.6,FA01,05B2,F009,E3C8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
250,478.8,F9F8,05BD,EFEF,E39A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
251,480,F9EA,05C2,EFD0,E366,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
